,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
MTA2,0.1501552544127814,0.35128957611537587,2.342432559172103,0.14996785061745121,0.8807899798545036,0.9999414166694955
MTA1,0.2589862877430982,-0.7073433434824742,1.148214264620789,-0.6160377599176426,0.5378695986361399,0.9999414166694955
MT2A,0.279600310085486,-0.13372822178366622,1.1288361885424258,-0.11846556935452128,0.9056987746261685,0.9999414166694955
MT-TW,0.3606520210079315,-0.004261237464375635,0.8839941705073284,-0.00482043615958473,0.9961538633071303,0.9999414166694955
MT-TT,15.993080499067872,0.02233318235986167,0.1657314973242106,0.134755207793559,0.8928054217178573,0.9999414166694955
MT-TS1,2.1189006450957586,-0.5118603528047173,0.38612997655788217,-1.3256167194467683,0.18496668530382232,0.9999414166694955
MT-TP,0.3420885453640767,0.2944377662048437,1.0233445326044677,0.28772105270888926,0.7735602734306524,0.9999414166694955
MT-TL1,0.5345070375417281,0.7493941134036725,0.7704234081784401,0.9727042369799114,0.33070031885243756,0.9999414166694955
MT-TK,12.802594670780639,-0.16333875321712893,0.13568446728475575,-1.203813203425387,0.2286617852773809,0.9999414166694955
MT-TI,2.2565437971523115,0.49442376283804246,0.32628652557965176,1.5153054878980765,0.12969505919646035,0.9999414166694955
MT-TH,0.48693671186238835,0.769860144753419,0.7104759879935709,1.083583622477591,0.2785494555831428,0.9999414166694955
MT-TG,11.361885675132692,0.08120773871964203,0.27806437840841675,0.29204653679287657,0.7702510429237244,0.9999414166694955
MT-TF,1.4876427998804411,0.010332981225165825,0.422501484372883,0.024456674372406104,0.9804883422101991,0.9999414166694955
MT-TE,0.2093383423057774,-0.7822713466243115,1.5988120020702599,-0.48928288354814004,0.6246414373007979,0.9999414166694955
MT-RNR2,49.82020338940928,-0.07187298061802286,0.05212359183612931,-1.3788953923970435,0.16792700900948465,0.9999414166694955
MTERF1,0.2892298512912333,-0.9480788301067639,1.359830474985934,-0.697203693803502,0.485675327631406,0.9999414166694955
MTDH,3.784737635420597,0.5246892977455959,0.28777235609799134,1.8232790142182052,0.06826114308005429,0.9999414166694955
MTCYBP35,0.41068928976913277,-0.4108718073235641,1.0170463469213225,-0.4039853331830006,0.6862235045529623,0.9999414166694955
MTCYBP13,0.4522880356170981,0.18181872771735816,0.9092162363508941,0.19997303220967647,0.8415016722934269,0.9999414166694955
MTCO2P22,0.3111709253981352,-0.2917959014073151,1.1340698155150557,-0.2572997688636932,0.7969473708690822,0.9999414166694955
MTCO2P2,1.185718007553091,-0.1832248416780435,0.5080803583702801,-0.36062177696802916,0.7183822076253152,0.9999414166694955
MTCO2P12,12.314404231521728,-0.4989843667181068,0.3921876648602684,-1.2723102010255443,0.20326292554945313,0.9999414166694955
